"upper","lower","_COL3","Sum_area_m2_","Sum_volume_m3_","_COL6","_COL7","_COL8","_COL9","_COL10","_COL11","_COL12","_COL13","_COL14","_COL15","_COL16","_COL17","_COL18","_COL19","_COL20","_COL21","_COL22","_COL23","_COL24","Avg_SD_","_COL26","_COL27","_COL28","_COL29","_COL30","_COL31","_COL32"
-10.5,-11,0.029555733614136,29555.733614136,325113.06975549,0,0,0,0,0,0,0.5085,0.0509,0.0082,0.0817,0.0167,0.0026,0.437,0.0762,0.01,0.0031,0.0803,0.111,13.884289919058,5.3633,0,0,0.0238,0.6067,80.5923,0.0747,0.1066
-9,-9.5,0.052474154624178,52474.154624178,498504.46892969,0,0,0,0.05036886946796,0.0041791101022756,0.00096591373442151,0.55368087627675,0.055407269012463,0.0089845448354105,0.15475285357627,0.031445023836697,0.0049927309875372,0.46275258115687,0.075888637911474,0.011011362088526,0.0032690896708209,0.084294072644609,0.1162518002269,24.135931036086,5.3391,0,0.011986871736995,0.31886204086122,1.7922104812771,79.711820826344,0.081085886492482,0.11225589330297
-8.5,-9,0.025013839544222,25013.839544222,225124.555898,0,0,0,0.0071,0.0006,0.0001,0.5766,0.0579,0.0093,0.1483,0.0305,0.0048,0.4911,0.0756,0.0115,0.0035,0.0896,0.1217,28.104304635762,5.3046,0,0.0025,0.4784,2.022,78.9151,0.0919,0.1192
-8,-8.5,0.05784830154411,57848.30154411,491710.56312493,0,0,0,0.032003034692188,0.0026555559163981,0.00058585867114864,0.58813030535282,0.058808081037708,0.0095868687196726,0.18662020551709,0.037648485576731,0.0056606061590177,0.66938988002926,0.091731311504241,0.015570706644257,0.0040262625606549,0.10964848232915,0.15537575363929,27.890754893701,5.0985,0,0.013398991900026,0.47316971608123,2.7275111274212,93.408273149028,0.10360605834259,0.15087575363929
-7.5,-8,0.15373832227504,153738.32227504,1229906.5782003,6.580331138167e-005,0,0,0.021481578278736,0.0017988820759081,0.00043949993962099,0.66693946148265,0.066799434559812,0.010760824886269,0.35372627116402,0.067965951672079,0.010766031215393,0.5124080155407,0.076020578889759,0.011951460987481,0.0036129214029836,0.091668264420128,0.12434617878573,38.91023510587,5.2915,1.9158437817858e-005,0.013251364162944,1.0232525449545,4.605043705195,75.857079835689,0.08884770430335,0.12015710464599
-7,-7.5,0.24615581381852,246155.81381852,1846168.6036389,5.9942357705037e-005,0,0,0.0086589859771478,0.0007122352161889,0.00017985890846444,0.70222977763489,0.070236773730248,0.011343063532346,0.39160603607609,0.074054872957305,0.011948498421117,0.65807275926864,0.087613686963193,0.014804323142199,0.0040569944839712,0.1088631682515,0.15145134720676,41.707567074481,5.0808333333333,8.9823700301771e-006,0.0057027300336329,1.1775174087619,5.9688820803538,85.712926744677,0.10333095566905,0.1471698505423
-6.5,-7,0.28846593157839,288465.93157839,2019261.5210488,0.00032884359939223,1.8970333335113e-005,0,0.0085762639115154,0.00071860097512163,0.00017996345787431,0.76684216086619,0.076623009047348,0.012385375369416,0.4815062882781,0.095636907093667,0.014243812943427,0.64196098111922,0.085627491257221,0.014553865688915,0.0040090123530125,0.1063752885047,0.14718923132131,49.046957285903,5.11442,0.00039838803303191,0.0067763104758044,1.6179873859954,7.3352564753518,81.630999165733,0.1000115765846,0.14173367505347
-6,-6.5,0.32902282366577,329022.82366577,2138648.3538275,0.012393491326464,0.00088120051416604,0.00013257866732717,0.010087985827947,0.00083625311938757,0.00018324794489075,0.86704945597994,0.086615647105095,0.013993145489938,0.64534456639748,0.12658737585967,0.018929367736824,0.69638656623382,0.091677805321649,0.015699323305104,0.0041177350540653,0.11306361040136,0.15751018742422,58.724512560289,5.03545,0.015764883638587,0.0096391083104146,2.253304465894,9.8659070465464,83.234972010646,0.1073216593013,0.1528943118484
-5.5,-6,0.45739661637345,457396.61637345,2744379.6982407,0.043572671773399,0.0030600420736213,0.00043471710059941,0.011919056996631,0.00098721169609056,0.00021891236072777,0.9693349626509,0.096749893576958,0.015648559026517,0.76816361907472,0.14499493830048,0.022460525238221,0.67731035370983,0.08946087966755,0.015587792007503,0.0040458500289559,0.11138087008619,0.15429241420248,67.967671449924,5.0491157894737,0.049857179335508,0.013161998128562,2.9666330112773,12.369478920916,79.100156701143,0.10475767104023,0.14953529797727
-5,-5.5,0.65020991800327,650209.91800327,3576154.549018,0.14418249793153,0.010117907002245,0.0014531612090872,0.027400307656069,0.0022756295834977,0.00051600142711636,1.1886715519977,0.11798311179898,0.019204493959932,0.84630182126165,0.1526017635967,0.024249787746356,0.67186081860422,0.089494163661111,0.01521850936714,0.0040153278146654,0.11250559520783,0.15588331246087,85.384390147225,5.055884,0.17008947293005,0.037785798397638,4.5563235142475,17.613763859897,73.429103662252,0.10482352742798,0.15191793861997
-4.5,-5,0.90655117157673,906551.17157673,4532755.8578836,0.23734027201683,0.01665819229891,0.0024213267001271,0.089854806853186,0.0074601209987871,0.0016904885685752,1.5330198815683,0.15094039836716,0.024712596576164,0.80927827113439,0.13540971197421,0.023210816920032,0.64842028601767,0.087209100701074,0.014071828189913,0.0041077634946461,0.1142121671759,0.1543304483947,106.82585088523,5.0655310344828,0.32281146002218,0.13540034561138,6.9384530535972,21.543878598125,62.997941760231,0.10492866358459,0.15179028102452
-4,-4.5,2.1234752593285,2123475.2593285,9555638.6669781,0.26964575450999,0.018904760840959,0.0027304845141918,0.053656858522622,0.00445010524872,0.0010203832233613,1.9125024921052,0.18662699029798,0.030903864713461,0.73509815636748,0.12015112844843,0.021181821756471,0.62674784749983,0.083800540140928,0.012810321019594,0.00429803912374,0.1142197770663,0.15295295220819,128.49777081906,5.0639553846154,0.4254812665522,0.088957016838354,9.7344853177871,24.214869435136,55.757321290789,0.10435919174238,0.15103859817501
-3.5,-4,1.6832571495557,1683257.1495557,6733028.5982226,0.25374784720692,0.017787988067263,0.0025678595911416,0.10888522378525,0.0090359698765391,0.0020708582606524,2.2634024207995,0.22239103161843,0.036565567833043,0.70366499366185,0.11201245868424,0.020612498592428,0.64306855937007,0.087936801808258,0.01312792261648,0.0044813093667649,0.11815946725608,0.15899541042046,148.45752408173,5.016286,0.49236547964642,0.19149247154328,12.38683587282,26.025478232003,52.457099998718,0.10852488293637,0.15753487687317
