"upper","lower","_COL3","Sum_area_m2_","Sum_volume_m3_","_COL6","_COL7","_COL8","_COL9","_COL10","_COL11","_COL12","_COL13","_COL14","_COL15","_COL16","_COL17","_COL18","_COL19","_COL20","_COL21","_COL22","_COL23","_COL24","Avg_SD_","_COL26","_COL27","_COL28","_COL29","_COL30","_COL31","_COL32"
-12,-12.5,0.056885166795507,56885.166795507,711064.58494384,0,0,0,0.0071,0.0006,0.0001,0.69817386014729,0.069814733910787,0.011102946782157,0.078688403464722,0.015917680692944,0.0024029467821574,1.1408410643569,0.16179115965353,0.026085266089213,0.026797053217843,0.054297053217843,0.0189,25.847113252732,7.4806,0,0.0023029467821574,0.79973175494179,0.25694896656615,183.20024274566,0.064928602736703,0.031833455452374
-11.5,-12,0.081556537963042,81556.537963042,978678.4555565,0,0,0,0.0072686361209689,0.0006,0.0001,0.75877502785591,0.075744894683619,0.012130839142339,0.11187772839641,0.02238157405922,0.0033483917251002,1.1360247481995,0.15991520939098,0.026257516637806,0.0266032165498,0.054075069220568,0.018871852670769,28.152592138175,7.5207333333333,0,0.0027912237086192,0.98649350883525,0.68102616148535,181.76457572972,0.062802247111811,0.03055528700748
-11,-11.5,0.094374170171493,94374.170171493,1085302.9569722,0,0,0,0.0073308637536569,0.0006,0.0001,0.73966691761115,0.073704990667297,0.011787506637397,0.12999835208479,0.02593298368605,0.0038957329835532,1.1414216088942,0.16294985637091,0.025808681088348,0.026793525947603,0.054660645765228,0.019154362320063,29.319289500552,7.36315,0,0.0029851089942145,1.0550168276864,1.1371669247679,178.97590647132,0.067073077620184,0.033639779066804
-10.5,-11,0.047003921267208,47003.921267208,517043.13393929,4.2567143252442e-005,2.5798268637843e-006,0,0.0077140078847251,0.00060131415733797,0.00010131415733797,0.82112908189007,0.080971204421139,0.013067975037739,0.19185066331424,0.036696467701135,0.0057652457676796,1.1539355662636,0.16071071912399,0.026396826863707,0.027182098131073,0.053963281462989,0.018232930644926,33.362157064814,7.45162,4.6436883548118e-005,0.0037824398849489,1.3835571334975,2.2445965860531,181.73672104499,0.061367876858829,0.028759564497505
-10,-10.5,0.11551768122069,115517.68122069,1212935.6528172,0.0025847731724586,0.0001929438642248,2.8503750145413e-005,0.0083956612874619,0.0007,0.0002,0.95889514808655,0.092520955777386,0.015311698004484,0.37360036395583,0.060104979935515,0.01115371324091,1.1486743736813,0.16108149381609,0.026533570010352,0.027034586705708,0.053011868597295,0.017355423909434,40.438640304191,7.42652,0.0028796534643341,0.0053932590025745,2.0490985957546,3.9621811884214,173.99461553329,0.059807208655818,0.027910130204481
-9.5,-10,0.29048671931686,290486.71931686,2904867.1931686,0.0042636141435406,0.00029698601314404,5.8029632865295e-005,0.0089710098941905,0.00075110861929226,0.0002,1.0395631343921,0.099596378085539,0.016588979081647,0.37986824960891,0.059346790958335,0.011387206972877,1.1636769294303,0.16308321121789,0.026700854803947,0.027435929440491,0.053129192837736,0.017000867645886,45.713223475247,7.39674375,0.0048872926903703,0.0066292269918977,2.5732515791541,4.9846072017985,174.03252506174,0.058767418835591,0.027073069810355
-9,-9.5,0.19365109353458,193651.09353458,1839685.3885785,0.003945700632484,0.00027155934719026,5.0303884255475e-005,0.0092322045968753,0.00076697792992311,0.0002,1.0682370427753,0.10434712477022,0.017058309988471,0.37955657600829,0.058919588330627,0.01142529477334,1.1753793837539,0.16560912410598,0.02669385542187,0.027846772363613,0.053609824741601,0.017043630235211,48.118466495785,7.23898,0.0045851370374544,0.0071856173337321,2.7978936939937,5.4933517657369,175.55529481132,0.058621523654839,0.026988262168853
-8.5,-9,0.33097171107908,330971.71107908,2978745.3997118,0.0096424367898743,0.00066734371646825,0.00010054838678514,0.53327365366023,0.026960006004929,0.0027951327124074,1.3133551130855,0.12851305466915,0.020938419555995,0.42184321777769,0.061900541618668,0.012641640140716,1.1759667806147,0.16375888627088,0.026612165012073,0.027635264004065,0.053043172997602,0.016649463627349,58.179592809308,7.3813947368421,0.011688277960401,0.0082982652985802,4.0722958496555,7.5039354067609,167.49861364949,0.056294392706332,0.025871447356858
-8,-8.5,0.36320292688197,363202.92688197,3087224.8784967,0.012333892937415,0.00086384243572,0.0001183774921634,0.22562730626375,0.011624031657069,0.0012642744750879,1.5534887818479,0.15139149442791,0.024777383570142,0.46614498897788,0.088042628885314,0.01400254996679,1.1794677010803,0.16407032517026,0.026595815251412,0.027814898938289,0.053186008353087,0.016583671651387,65.99244762044,7.3753777777778,0.015504236350679,0.011062644008292,5.2322670389517,9.4406215078064,164.5440486102,0.055997016092194,0.02578677790324
-7.5,-8,1.3098277883758,1309827.7883758,10478622.307006,0.013817181534565,0.0009705955589506,0.00013744294883906,0.18189928723629,0.0096507923261283,0.00111733202653,1.7017105377432,0.1657636033577,0.027138914775703,0.61967853559607,0.12427619189845,0.018558569413422,1.2102678279969,0.16774161599027,0.027287340817122,0.029662959021755,0.054460331832077,0.016814892355826,70.953841123428,7.1342125,0.017745222429255,0.018725523665854,5.9364417289498,11.053102552943,168.39379675831,0.056364909744165,0.026135068177155
-7,-7.5,1.1522569872323,1152256.9872323,8641927.404242,0.018411311494543,0.0012856356606896,0.0001689168878391,0.15020158988709,0.0083872154142547,0.0011081139509828,1.8890120270747,0.18357807688551,0.030133423501223,0.83146944861276,0.16682610037915,0.024778876740083,1.2423194780376,0.17100788802269,0.028075725239968,0.030959078892183,0.05508932583415,0.016966191692313,76.56103269829,6.9852186440678,0.02341576467316,0.032154033449296,6.8611071872159,12.993249740388,170.09093113116,0.05568537368424,0.025845227834282
-6.5,-7,1.4108363956067,1410836.3956067,9875854.7692469,0.017003837909921,0.0011874788025409,0.00016884448232473,0.17562013594724,0.009638291636515,0.0012178161998015,1.8901366784664,0.18411702156551,0.030150240881716,1.0869278837411,0.2181376803078,0.032121761796418,1.2951243387739,0.18243961881888,0.029872212476064,0.032400798291801,0.056830872661645,0.017280332319855,75.706187757302,6.5508684210526,0.021110991668594,0.032262043292049,6.8503546307897,14.218906195798,186.73524052701,0.055818348520048,0.026319780186476
-6,-6.5,0.7049277822986,704927.7822986,4582030.5849409,0.031645417181385,0.0022118042558902,0.00031423843988393,0.5699182370061,0.029449120994145,0.0032557576683762,2.3834525889774,0.23063116279892,0.038006344655323,1.4398600817464,0.28899147547817,0.042399619593709,1.29908421532,0.18465821268294,0.02918244413933,0.032215651593669,0.056732915320099,0.017042705476827,85.881831440998,6.4357121951219,0.03801908977833,0.038970144560798,9.1597161317692,17.457815292685,179.74584449376,0.053809962154571,0.025003651799749
-5.5,-6,0.46141958867191,461419.58867191,2768517.5320315,0.034015131487237,0.0023739904024769,0.00033675803734393,0.20026611599631,0.0109104165034,0.0013805339708856,3.1316997798284,0.30179196428606,0.049954119581158,1.7725411545592,0.35624025386058,0.052166715401014,1.3258548658352,0.18520487228062,0.02939409264177,0.033132069159151,0.057062050643411,0.017075259178301,98.927980278553,6.4309,0.040077792536527,0.039016165856447,12.681039340545,21.182602228289,174.05416722121,0.053984193437884,0.024947337852005
-5,-5.5,0.39599864877321,395998.64877321,2177992.5682526,0.067975815894896,0.0047568090460641,0.00067205822422634,0.53686553821319,0.031325295534406,0.0045767964790586,5.0867129627006,0.47821999629437,0.081086227577972,2.2085703093402,0.4433150671698,0.065601447826252,1.289342758709,0.17917777184876,0.028015692207341,0.031516922069738,0.056353925807917,0.016345503392244,128.65166697794,6.6726636363636,0.082011592890495,0.21732826897099,22.444422441439,27.699003618441,146.84275379689,0.050277304906909,0.022416731160832
-4.5,-5,0.42810544153695,428105.44153695,2140527.2076848,0.091153038197192,0.0063790640544048,0.00090107560742156,0.82759631456254,0.046105018948141,0.0061448529360256,6.0563555441859,0.55717894116515,0.096548930121131,2.5478827166975,0.51169701443944,0.076335072952596,1.2866165393561,0.17963117500548,0.027859329252945,0.031599796494152,0.055751750633737,0.015955309439455,149.77918463165,6.8033739130435,0.11008278888813,0.23790154678277,27.810935996291,32.725884386443,132.73294116488,0.050444767171768,0.021674716292003
-4,-4.5,0.44307247254665,443072.47254665,1993826.1264599,0.086876048660872,0.0060858631482312,0.00086637533759733,0.73016738333545,0.042407244966746,0.006140694993669,6.2128008848592,0.57161381959397,0.098957213157956,2.8113487901079,0.56389511535788,0.083748339759866,1.3299405013191,0.19076282138233,0.028568883827954,0.033091609415736,0.056807711743267,0.016056019663309,155.99572536199,6.4568260869565,0.10389192821658,0.30759572867419,29.092256166185,35.471792504372,140.43728339712,0.05032140794626,0.022101210642351
-3.5,-4,0.35455616978347,354556.16978347,1418224.6791339,0.11625774765456,0.0081429674354202,0.0011547670286006,1.5625513399253,0.08621798297253,0.011250273908691,6.9358202620959,0.6266641999819,0.11052794398185,3.1324053629167,0.62703060961028,0.093287090699543,1.354155370162,0.19316086031757,0.028822603797588,0.033960690267912,0.057594401339794,0.016060905045004,180.95420735215,6.3704047619048,0.15000097691182,0.43735752537784,33.83137057452,40.808561435386,130.25101678214,0.048741158209807,0.020999780887409
-3,-3.5,0.30878210706311,308782.10706311,1080737.3747209,0.17839758900338,0.012491587915359,0.0017792281123346,2.0641783317346,0.11019218954142,0.013289004100401,6.9295763860673,0.60257727983719,0.11042455791569,3.3447295128989,0.66234396153601,0.098358930163326,1.3492266173966,0.19736102972983,0.028818784508087,0.034473409655375,0.057540888028444,0.015696278667682,208.16383960059,6.3081388888889,0.24826508114874,0.38538822187179,35.467769357255,43.964173615118,114.84776555929,0.048039268912147,0.019900192989377
-2.5,-3,0.17042771843813,170427.71843813,511283.15531439,1.0890094313358,0.075831782111911,0.01080797517341,0.99435874378183,0.05494011955513,0.0072160238018183,6.343927481411,0.5152376550982,0.10108193052523,3.5260297940585,0.69338474708326,0.10233820154061,1.3790344707865,0.20088137677595,0.02888588974803,0.037569072025417,0.056663275125184,0.015055378021828,245.25872307691,6.3866636363636,1.3767174146025,0.30016622410665,33.474438078702,45.071646991421,98.41286033556,0.046269678516889,0.01753738525757
-2,-2.5,0.25931447126002,259314.47126002,648286.17815004,2.6426879124982,0.17932240937716,0.026296099513521,2.6153360233632,0.15385193195326,0.022898810437733,7.300494711828,0.62294992862402,0.11591912745594,3.4464813558825,0.66183551432665,0.0975321574114,1.4096988167442,0.21407068774982,0.029829432823121,0.039823456909223,0.056444107286032,0.014891757839847,282.91096469457,6.0351461538462,3.1653831605186,1.3721806540866,40.310286681324,46.964657548041,87.065315917705,0.046351763957171,0.017681025773477
