"upper","lower","_COL3","Sum_area_m2_","Sum_volume_m3_","_COL6","_COL7","_COL8","_COL9","_COL10","_COL11","_COL12","_COL13","_COL14","_COL15","_COL16","_COL17","_COL18","_COL19","_COL20","_COL21","_COL22","_COL23","_COL24","Avg_SD_","_COL26","_COL27","_COL28","_COL29","_COL30","_COL31","_COL32"
-19,-19.5,0.14216375499802,142163.75499802,2772193.2224613,0,0,0,0.006,0.0005,0.0001,0.50317086919296,0.050440217363103,0.0080480434726206,0,0,0,0.78787760589244,0.12707195600848,0.019776521671447,0.017176521671447,0.061170934453781,0.023099804217536,5.6566776487762,9.1826,0,0,0.0040836951727518,0,177.73969214276,0.1514343464837,0.062498260576272
-18.5,-19,0.14620877096477,146208.77096477,2777966.6483306,0,0,0,0.0060460698101703,0.0005,0.0001,0.50971025842039,0.051076418861022,0.0081460698101703,0,0,0,0.80863557134264,0.13028558481363,0.020260698101703,0.017760698101703,0.063093232088126,0.023915720759319,8.5963477139296,9.187,0,0.0001,0.017301518678107,0,176.62527870913,0.16033757011503,0.064198694427054
-18,-18.5,0.2166662316715,216666.2316715,4008325.2859227,0,0,0,0.0061,0.0005,0.0001,0.51504500721062,0.051592028505644,0.0082291246638031,0,0,0,0.82806421760335,0.13446675806536,0.020876782894845,0.018284265026388,0.06230890316963,0.023537815530829,9.3887469089435,9.170675,0,0.00012912466380308,0.034973499582787,0,176.03039057587,0.13764233782362,0.05623785626482
-17.5,-18,0.31379837646465,313798.37646465,5648370.7763637,0,0,0,0.0061806014819323,0.0005,0.0001,0.5269259346896,0.05275888122769,0.0084365002593779,0,0,0,0.84680827968899,0.13841574023671,0.021249739497153,0.018869439862363,0.059403320221501,0.022272709985896,10.890920988842,9.13676,0,0.00028060148193229,0.084828801386307,0,175.27214658811,0.14012310951257,0.058373918506401
-17,-17.5,0.31376061724083,313760.61724083,5490810.8017145,0,0,0,0.0062385785280243,0.0005,0.0001,0.53846318242421,0.053947916668971,0.0086379726786625,0,0,0,0.85474853145331,0.14035237084823,0.021397846197981,0.019075599330614,0.058790583788067,0.021896488230616,11.985888321327,9.1324333333333,0,0.00039989569484451,0.13296787591952,0,174.14264036618,0.12372936883284,0.052517348738793
-16.5,-17,0.26205348815551,262053.48815551,4454909.2986436,0,0,0,0.0063,0.0005,0.0001,0.55933206840168,0.055931404540521,0.008975722121457,0,0,0,0.90498471831505,0.15709076213791,0.022738198707829,0.021508978718206,0.05893833889463,0.021364622311253,13.317973268088,9.01004,0,0.00057549529457661,0.20814778930138,0,175.36830299752,0.12573063693605,0.054760239650336
-16,-16.5,0.53433245800203,534332.45800203,8816485.5570335,0,0,0,0.0064673200814086,0.0005,0.0001,0.58608437466901,0.05860502872842,0.0093544691028833,0,0,0,0.88313689978103,0.14629975343974,0.021793858629577,0.020110424917702,0.055768571707214,0.020141150971033,15.281446728058,9.0645111111111,0,0.00082039161978851,0.31312578058686,0,171.8411360928,0.11343597241472,0.049746417691615
-15.5,-16,0.70639833675397,706398.33675397,11302373.388063,0,0,0,0.0065101369526,0.0005,0.0001,0.60061570519579,0.060052193237519,0.0096110852698366,0,0,0,0.95946156250267,0.15923147576281,0.022993487884743,0.022631437104587,0.058142458405917,0.020011334499638,16.017039375368,8.7477636363636,0,0.00094502211407265,0.34953729850876,0,173.78272998876,0.11511006268419,0.052424370239575
-15,-15.5,1.6482798006137,1648279.8006137,25548336.909513,0,0,0,0.0066436831172882,0.00055418063266884,0.0001,0.62572082119442,0.062496146747629,0.0099951472708005,0,2.3337477257385e-005,4.2789703726265e-006,0.97781311436969,0.15783632504406,0.022878125512069,0.022689421342195,0.056621210462491,0.018963961478887,17.76876693273,8.7186777777778,0,0.001241073368063,0.45260296323929,0,171.6083168251,0.10409999229752,0.048251036026016
-14.5,-15,1.1916130879965,1191613.0879965,17874196.319948,0,0,0,0.012917159089654,0.0010839759108757,0.00021822547253934,0.66105590782642,0.065945500531069,0.01055579927109,0,2.2246460500759e-005,6.4860893763127e-006,0.96411265825402,0.15438627018765,0.022556873728952,0.022125201962882,0.054821736898975,0.018073501326353,19.91566739429,8.7241772727273,0,0.0024991792391082,0.60259330006687,6.4860893763127e-006,169.93339050402,0.096072149536174,0.044710038588872
