"upper","lower","_COL3","Sum_area_m2_","Sum_volume_m3_","_COL6","_COL7","_COL8","_COL9","_COL10","_COL11","_COL12","_COL13","_COL14","_COL15","_COL16","_COL17","_COL18","_COL19","_COL20","_COL21","_COL22","_COL23","_COL24","Avg_SD_","_COL26","_COL27","_COL28","_COL29","_COL30","_COL31","_COL32"
-11.5,-12,0.032938081281262,32938.081281262,395256.97537515,0,0,0,0,0,0,0.50404684222606,0.050409846090741,0.0081699486969135,0,3.0051303086493e-005,3.4505549261757e-005,0.86876004317179,0.16055658595839,0.017204454246175,0.0034699486969135,0.026173465344699,0.15267553136323,12.075156491123,5.4419666666667,0,0,0.01037648285669,0,85.792358019477,0.025602579049395,0.15003657156779
-11,-11.5,0.011119607650026,11119.607650026,127875.4879753,0,0,0,0,0,0,0.5085,0.0509,0.0082,0.0142,0.0031,0.0005,0.8628,0.1596,0.0175,0.0035,0.0266,0.1546,13.491077998528,5.4172,0,0,0.0225,0.0155,86.6175,0.0259,0.1518
-10.5,-11,0.030918435607528,30918.435607528,340102.79168281,0,0,0,0,0,0,0.52076151001123,0.052047244418175,0.008461324327566,0.10722959219315,0.021265871508901,0.0033484112119907,0.87012966856131,0.16105347222163,0.017185171613659,0.003538675672434,0.026514860223487,0.15475473452688,16.215416235178,5.4085,0,0,0.067661230428506,1.1152626540682,85.700490925901,0.025801978945057,0.15228127739784
-10,-10.5,0.022590316196869,22590.316196869,237198.32006712,0,0,0,0,0,0,0.53510288411955,0.053555540241095,0.0086505036582814,0.11947884635218,0.023747481708593,0.0036494963417186,0.86521826952827,0.16054345244234,0.017198992683437,0.0034979853668744,0.0266,0.15569899268344,18.695253438196,5.39775,0,0,0.1335043474321,1.4676542572642,85.883627631664,0.025903021949688,0.15325251829141
-9.5,-10,0.033091976675886,33091.976675886,330919.76675886,0,0,0,0,0,0,0.55308371857909,0.055304883496423,0.0089281216683729,0.12546568711781,0.025138428475183,0.0038378359473546,0.85987959724307,0.15977946545779,0.017393238053516,0.0034659576157275,0.027086476107032,0.15638307908289,21.466863784176,5.3902666666667,0,0,0.22649333299839,1.7420279432426,86.106304131565,0.026916296287478,0.15411586764673
-9,-9.5,0.049910465343139,49910.465343139,474149.42075982,0,0,0,0.011551141035658,0.00095191653542666,0.00021967304663692,0.58597765881893,0.058550335378719,0.0094632810110025,0.17963281724314,0.032754429090607,0.0055047907198284,0.86758586264746,0.16085130506577,0.017203785938631,0.0034332926828871,0.026916549780975,0.15533223570093,25.99227016848,5.41156,0,0.0039358087522449,0.4108074528486,3.0909045287716,84.529118366768,0.026943710814207,0.15372164156298
-8.5,-9,0.020841069627762,20841.069627762,187569.62664986,0,0,0,0.20012245967945,0.016622632848195,0.0038131815806929,0.63126737926676,0.063182689977892,0.010247403496684,0.21704420980103,0.043130093474576,0.0066456724944731,0.87379480699337,0.16159826899779,0.017201731002211,0.0036017310022108,0.027759520512159,0.15848029253869,31.662306163843,5.36995,0,0.086812497803984,0.67488256882829,3.5769055046647,84.912040089573,0.030294140556374,0.15743635104643
-7.5,-8,0.010337810133524,10337.810133524,82702.481068194,0.0005,0,0,0.0093,0.0008,0.0002,0.7446,0.0744,0.012,0.359,0.0626,0.011,0.8899,0.1628,0.0169,0.0036,0.0265,0.1528,43.646523178808,5.4499,9.9999999999999e-005,0.0067,1.3037,6.6861,79.7354,0.0278,0.1523
-7,-7.5,0.079738082039029,79738.082039029,598035.61529272,0.0007643556499697,4.2485358608589e-005,0,0.11254446969746,0.0093617695389813,0.0021618307488754,0.76070466299522,0.076174508233903,0.012311597509219,0.38541340592687,0.071486205105196,0.011783590922289,0.85603570463945,0.15283353972002,0.018295018146638,0.0044070576814226,0.035861532905415,0.18750426152537,45.136171485254,5.18686,4.2485358608589e-005,0.089098198575741,1.4249886425094,6.6187063099447,90.736881964881,0.039828591472257,0.17977553501085
-6.5,-7,0.11027815948302,110278.15948302,771947.11638117,0.022880418346409,0.0014963864910604,0.00023651302025696,0.30534674995779,0.025344213749116,0.0057966617842111,0.88350376901739,0.088231797242802,0.014274746538365,0.45881726180151,0.074751173189177,0.013960076832778,0.87300541350596,0.16010146685441,0.016876943585956,0.0038699835001337,0.030422908416883,0.16694008259422,56.789660089349,5.3210444444444,0.035586904747659,0.3159888492466,2.1708570035346,10.853979438233,82.227249051417,0.032428291866346,0.16413133221178
-6,-6.5,0.22619182505349,226191.82505349,1470246.8628477,0.085601833226116,0.0059301303235268,0.00088293118758417,0.070463641783103,0.0058604140257081,0.0013572779058022,1.009997151346,0.10082151477413,0.016322708768086,0.54296143659379,0.088442263796321,0.016524441263459,0.86844823861908,0.15770900298249,0.017296008863918,0.0039768143923182,0.032374673723455,0.17369678603484,67.917989256047,5.29621875,0.10722333339909,0.078129103457793,3.0243922085542,12.572109628034,81.921529725305,0.035440353440149,0.1698640640633
-5.5,-6,0.31227970219109,312279.70219109,1873678.2131465,0.1143766408137,0.0080122853195275,0.0011692029331305,0.19485998233074,0.016203664744004,0.0037234296426777,1.0561526466496,0.10554369898815,0.01703786140247,0.60799487135673,0.10544761613272,0.018485643468251,0.86364766131927,0.15501920926461,0.017734275862957,0.004402031647962,0.036180816202285,0.18862284583685,71.423811081046,5.21439,0.12858254325408,0.23103584215494,3.3573307392304,12.723473918616,85.359733452966,0.038781279680141,0.18094111078058
-5,-5.5,0.65001780562155,650017.80562155,3575097.9309185,0.29436961240061,0.020659809340443,0.0029959042895761,0.14953431289844,0.012418873002768,0.0028373720592536,1.3133208614987,0.13103539691215,0.021210922568854,0.68894514401383,0.1040713553107,0.020898136064694,0.8675834595988,0.1540490229445,0.017621393087997,0.0047729979455269,0.03987201824379,0.20722159220738,88.743298089718,5.1331172413793,0.33458720121895,0.21470453937908,5.1517781467201,18.067276325818,82.572315674194,0.042940239607948,0.19866925828554
-4.5,-5,1.4894583030518,1489458.3030518,7447291.5152589,0.4575045929207,0.032094328868282,0.0046610350631182,0.07425437895311,0.0061712248912789,0.0014313261997069,1.4749676624211,0.14679459840546,0.023839058543684,0.68432463864938,0.10308130857231,0.0207854525009,0.87118754627379,0.14728070752835,0.019071774450689,0.0054300203076478,0.049280109091458,0.25209533375475,98.135435376581,5.088828,0.49806284165702,0.11457659654602,6.1931827433636,21.303962444998,78.825166481503,0.049401824930827,0.23883714520359
-4,-4.5,1.2202784500277,1220278.4500277,5491253.0251246,0.5377410495679,0.037672061153884,0.0054458054077104,0.21289551131673,0.017680888933795,0.0040473846796241,2.0475617598783,0.2029128115078,0.033044326035821,0.65756589866605,0.095820855265303,0.019983260896892,0.88652440321424,0.14768251364202,0.017664246799856,0.0053951427305434,0.044827713004105,0.23747049899662,127.19964008861,5.0381357142857,0.73168907593222,0.36399016145657,9.9963427310008,24.494120477032,72.327660431022,0.044205067007792,0.23077176302424
-3.5,-4,1.3835545770577,1383554.5770577,5534218.3082309,0.82492294732818,0.057789666437103,0.0083774510586094,0.36777851180915,0.030540271345203,0.0069966856051955,2.553847862291,0.25251036568717,0.041261879637667,0.67804107388608,0.10413104456263,0.020583987661188,0.87685517805818,0.14603830642484,0.017221300174014,0.0053225923224868,0.045549478654522,0.24168996036272,148.8089374003,5.0758094339623,1.017461153219,0.65732296297384,12.957841338987,26.154279938324,66.403412412556,0.043817202367512,0.23493610688572
-3,-3.5,0.84025517450231,840255.17450231,2940893.1107581,3.1572823281593,0.2211715147552,0.032088434508815,1.2771394808686,0.10593495908617,0.024283095413183,3.6569393100287,0.35958409669661,0.059081552418616,0.73040049862096,0.12115255968872,0.020839530347641,0.83950383584609,0.14794048814402,0.015686038963552,0.0044497461227702,0.04442013133696,0.22711812122164,194.67953483408,5.2082871794872,2.6991544808722,2.4208373728185,19.390478759237,27.073447427347,53.23733937806,0.042728183333907,0.22414229081409
