"upper","lower","_COL3","Sum_area_m2_","Sum_volume_m3_","_COL6","_COL7","_COL8","_COL9","_COL10","_COL11","_COL12","_COL13","_COL14","_COL15","_COL16","_COL17","_COL18","_COL19","_COL20","_COL21","_COL22","_COL23","_COL24","Avg_SD_","_COL26","_COL27","_COL28","_COL29","_COL30","_COL31","_COL32"
-19,-19.5,0.14216375499802,142163.75499802,2772193.2224613,0,0,0,0.006,0.0005,0.0001,0.50317086919296,0.050488260835724,0.0080480434726206,0,0,0,0.7900217363103,0.12722391253585,0.020076521671447,0.017228478198827,0.061096912717471,0.023584217259322,5.6578723812858,9.18195,0,0,0.0040836951727518,0,177.68113627317,0.15133825953846,0.062882608357237
-18.5,-19,0.14620877096477,146208.77096477,2777966.6483306,0,0,0,0.0060460698101703,0.0005,0.0001,0.50966418861022,0.051076418861022,0.0081460698101703,0,0,0,0.81088164115281,0.13047772443397,0.020606767911874,0.017760698101703,0.063039301898297,0.024415720759319,8.5963477139296,9.1864,0,0.0001,0.017347588488278,0,176.56257719046,0.16023757011503,0.064944764237224
-18,-18.5,0.21665855841899,216658.55841899,4008183.3307514,0,0,0,0.0061,0.0005,0.0001,0.51504511505362,0.051595726403274,0.008229125695292,0,0,0,0.83043385292866,0.13469737011299,0.021227600649503,0.018325718273698,0.062208839735541,0.024037788537047,9.3887524450473,9.169975,0,0.00012912569529199,0.034981661883676,0,175.96264798085,0.13752556577064,0.056914597888071
-17.5,-18,0.31379837646465,313798.37646465,5648370.7763637,0,0,0,0.0061806014819323,0.0005,0.0001,0.5269259346896,0.052778144828058,0.0084171017413102,0,0,0,0.84933595666057,0.13852155134321,0.021624901874967,0.018907864896116,0.059328157843687,0.022730398620017,10.891492126217,9.13596,0,0.00028060148193229,0.084928801386307,0,175.20649142896,0.14000563576887,0.059112343540154
-17,-17.5,0.31375959982323,313759.59982323,5490792.9969065,0,0,0,0.0062385786531216,0.0005,0.0001,0.53850176517341,0.053944420886361,0.0086022383828562,0,0,0,0.85737379206389,0.14050829587462,0.021756072491755,0.019152863781627,0.058706706564942,0.022409484574171,11.984999188507,9.1316333333333,0,0.00039989569450629,0.13308693804046,0,174.08319561911,0.12356207612159,0.053226488745427
-16.5,-17,0.26205098836274,262050.98836274,4454866.8021666,0,0,0,0.0063,0.0005,0.0001,0.55935652180422,0.055931405794033,0.0089757228437959,0,0,0,0.90837899490345,0.15731561107665,0.023262805799917,0.021583829368255,0.058838400312116,0.021888927135456,13.317401509628,9.009,0,0.00057549506081796,0.20822396747184,0,175.29903510241,0.12558304243901,0.055530363539622
-16,-16.5,0.53432463078777,534324.63078777,8816356.4079982,0,0,0,0.0064673181378071,0.0005,0.0001,0.58610852489738,0.058604995109847,0.0093756408144763,0,0,0,0.88609254297391,0.14643042692206,0.02225934472267,0.020148050269028,0.055715396252979,0.020628066220603,15.280606681518,9.0635555555556,0,0.00082038752386148,0.313275352743,0,171.78383747114,0.11328011807359,0.050445113410365
-15.5,-16,0.70639833675397,706398.33675397,11302373.388063,0,0,0,0.0065101369526,0.0005,0.0001,0.60061550572416,0.060042408576019,0.0096018807420066,0,0,0,0.96393152986116,0.15935645488355,0.023560398091027,0.022687508771052,0.058059273442334,0.020561145229974,16.011534268709,8.7456181818182,0,0.00094502211407265,0.34935819420907,0,173.75464495926,0.11496146998196,0.053235836103299
-15,-15.5,1.6482798006137,1648279.8006137,25548336.909513,0,0,0,0.0066436831172882,0.00055418063266884,0.0001,0.62563781035665,0.062493674690977,0.0099882416300358,0,2.3337477257385e-005,0,0.98259295007225,0.15791888660686,0.023416938126637,0.022769570057502,0.056538625321249,0.019519970349579,17.761623269358,8.7163111111111,0,0.001241073368063,0.45226380951245,0,171.59343695174,0.1039712997042,0.049056178972995
-14.5,-15,1.1916087673915,1191608.7673915,17874131.510873,0,0,0,0.012917179819265,0.0010839776657039,0.0002182259012082,0.66095450752369,0.065944989787572,0.010570995142357,6.4861128939561e-006,1.6089057610246e-005,0,0.96865643669988,0.15445663961606,0.023061891174933,0.022187876200945,0.054737881308255,0.018615648262713,19.907122961193,8.7217136363636,0,0.0025002097575432,0.602151554604,6.4861128939561e-006,169.93106646731,0.095950707644903,0.045490309466578
-14,-14.5,1.5790724766503,1579072.4766503,22896550.91143,0,0,0,0.0100964025336,0.00084273960361458,0.00015777975001153,0.70515333391903,0.070395415409787,0.011261481592726,0.018779363790435,0.0038043920654737,0.0005700549338563,0.97215015174587,0.15360790125354,0.022921551646881,0.022165046914376,0.053841569876024,0.017995454158748,22.689602068779,8.6808166666667,0,0.0026374247179466,0.80583444052891,0.04176032652391,166.35800799373,0.094226043593726,0.044979366580595
-13.5,-14,1.4362013876624,1436201.3876624,20106819.427274,0,0,0,0.0098434843337076,0.00081021247896053,0.00015239632815261,0.74597451643978,0.074347119992335,0.011926855755331,0.043425393978454,0.0085930440308092,0.0013275045710588,0.98725088272663,0.15411456581613,0.022914518275015,0.022457407305788,0.052870100785883,0.017012489157882,25.173884278007,8.6056464285714,0,0.0030896869728371,0.99357609424872,0.20890975105076,165.07745923544,0.082754552301144,0.039116520126818
-13,-13.5,8.4734719100812,8473471.9100812,114391870.7861,0,0,0,0.0099013684089102,0.00082547182726664,0.00018788886200564,0.86474668094274,0.086003048127766,0.013808033639008,0.15460031574393,0.029959087155032,0.0046715337414159,0.94021307569798,0.14639253972064,0.021985958074501,0.020864184932922,0.048748278703361,0.015537615908146,31.307824431037,8.8288817073171,0,0.0041156623339147,1.5674753124223,1.2439083708075,151.55498879333,0.075002471714107,0.0371897221178
