"upper","lower","_COL3","Sum_area_m2_","Sum_volume_m3_","_COL6","_COL7","_COL8","_COL9","_COL10","_COL11","_COL12","_COL13","_COL14","_COL15","_COL16","_COL17","_COL18","_COL19","_COL20","_COL21","_COL22","_COL23","_COL24","Avg_SD_","_COL26","_COL27","_COL28","_COL29","_COL30","_COL31","_COL32"
-15.5,-16,0.019866516840425,19866.516840425,317864.2694468,0,0,0,0,0,0,0.5,0.0504,0.008,0,0.00016593773472143,0,0.38994831296291,0.077471127430224,0.008932586967011,0.004432586967011,0.20033253466388,0.43546883602813,4.971699073282,6.2123,0,0,0,0,59.36571159537,0.21132887256978,0.43883772435938
-14.5,-15,0.0077383065562587,7738.3065562587,116074.59834388,0,0,0,0,0,0,0.5,0.0503,0.008,0,0.0001,0,0.4174,0.0821,0.009,0.0046,0.1967,0.4343,7.1077078734364,6.2179,0,0,0,0,57.7225,0.2066,0.4362
-14,-14.5,0.020368643631593,20368.643631593,295345.33265809,0,0,0,0,0,0,0.5,0.050156870977245,0.0081,0,0.0001,0,0.41741695588079,0.082198642324728,0.0090715645113777,0.0045954151246131,0.19723388324195,0.43460960118975,7.3654192685071,6.2116666666667,0,0,0,0,58.441001426863,0.20673892489965,0.43634813266544
-13.5,-14,0.0065954135464968,6595.4135464968,92335.789650955,0,0,0,0,0,0,0.5019,0.0502,0.0082,0,0.0001,0,0.4156,0.0817,0.009,0.0046,0.1972,0.4345,9.2209345106696,6.2153,0,0,0.0026,0,57.7539,0.2077,0.4369
-12.5,-13,0.0078986262187197,7898.6262187197,102682.14084336,0,0,0,0,0,0,0.5123,0.0513,0.0083,0,0.0001,0,0.4358,0.0841,0.009,0.0046,0.1956,0.434,11.564109639441,6.2223,0,0,0.0271,0,55.8124,0.2045,0.4358
-12,-12.5,0.030408423233158,30408.423233158,380105.29041448,0,0,0,0,0,0,0.52676101205519,0.052741806438774,0.0085342166360616,0.014821382126618,0.0030301473284769,0.00048646450614397,0.43691626374399,0.085076623899201,0.0090671083180308,0.004630679469859,0.19546743465534,0.43421638422867,13.86492826211,6.22075,0,0,0.069725095853448,0.028964311334786,55.907604448157,0.20524125178635,0.43706240241692
-11.5,-12,0.022182337122982,22182.337122982,266188.04547579,0,0,0,0,0,0,0.54197863459144,0.054155326289643,0.008803818386021,0.1241709978194,0.023685728027528,0.0037624622758785,0.47067154054936,0.089874181161734,0.0091907044278505,0.004550651682292,0.1912929557215,0.43276506900505,16.03879846873,6.2293666666667,0,0,0.12031073107214,1.2228059976489,54.224703690302,0.20008496351393,0.43372797842418
-11,-11.5,0.027266908505041,27266.908505041,313569.44780797,0,0,0,0,0,0,0.5688495041674,0.056828762100014,0.0092191608309233,0.14697433005213,0.027299346613632,0.0044942340445895,0.45026737951092,0.088470175701168,0.0092993049063731,0.0048400548937168,0.19430509137476,0.43414908248377,19.260020635261,6.2143,0,0,0.21169204959714,2.0048842737872,55.394093252189,0.20275015952107,0.43585666969661
-10.5,-11,0.019070116867271,19070.116867271,209771.28553998,0,0,0,0,0,0,0.60406797385398,0.060343467496791,0.0097670054300499,0.17801265798189,0.031873614170634,0.0054670054300499,0.46669758703232,0.090339147153038,0.0093568368193316,0.0046389946782882,0.19237133782562,0.43343498435988,23.203401037314,6.2197666666667,0,0,0.3450221355465,2.909228431653,53.062380233377,0.20050616400153,0.43499294081114
-10,-10.5,0.033858716519102,33858.716519102,355516.52345057,0,0,0,0,0,0,0.59684654598072,0.059599897183164,0.0096301468443468,0.15224566874012,0.026570675405788,0.004681595931652,0.54335411097351,0.10068260937507,0.012199635556075,0.0055740232967228,0.20146348573603,0.4161678980725,20.028337589959,5.7003,0,0,0.3361293619027,2.6632954210766,74.598186190395,0.21419013830495,0.41982405508554
-9.5,-10,0.033240787552414,33240.787552414,332407.87552414,0,0,0,0,0,0,0.52990380550915,0.052961978021938,0.0085340566810704,0.04584979677794,0.0078720876687131,0.001399838928176,0.7240547828468,0.12059068901039,0.019003741442577,0.0072370929598764,0.21614538933617,0.37737152061815,8.63354043612,4.32135,0,0,0.1073006969728,0.84120175823031,117.18540996746,0.23756988237098,0.38467338994759
-9,-9.5,0.068213578978792,68213.578978792,648029.00029853,0,0,0,0.010776651812956,0.00089233422655046,0.00020592328305011,0.68503853667415,0.068247285698195,0.011072294826689,0.25077357085253,0.039329208768698,0.0076367070522731,0.50263641914018,0.09539244319777,0.010744138140945,0.0052226615174463,0.19729842296462,0.42611757807565,30.971194054408,5.9579,0,0.005068000799511,0.73119193982328,5.4164369919589,61.979377290062,0.20759184973599,0.43021699237971
-8.5,-9,0.079154044053401,79154.044053401,712386.39648061,3.6479160360342e-005,0,0,0.0066034900455228,0.00054886151027722,0.00012863941647122,0.61226280169207,0.061119684769988,0.0098972516773563,0.13462755358739,0.02058457042969,0.0041149952068586,0.69385889177382,0.11687097219103,0.016988604857159,0.0068567606655954,0.2049643030854,0.39270808359749,21.020652879553,5.0600272727273,0,0.0043651641989235,0.47437343934483,3.3591396033648,99.194205137097,0.23160308619171,0.40539749112129
-8,-8.5,0.045256786161781,45256.786161781,384682.68237514,0.00037741704034949,2.7456854558985e-005,0,0,0,0,0.72085501586236,0.071636110274633,0.011620859299505,0.23428463014668,0.033730322359568,0.007164095749712,0.63566870240153,0.11071472395455,0.013905157930673,0.0057317066395751,0.19314100488558,0.40847424515712,34.733248413455,5.5152714285714,2.7456854558984e-005,0,0.99427628322492,6.6802323800364,74.277185930131,0.2070133993267,0.41420554395352
-7.5,-8,0.066653841803045,66653.841803045,533230.73442436,0.023921841798271,0.00167637886349,0.00023836667859419,0.016691809627384,0.0013834855688465,0.00031493980429026,0.84273897934034,0.083303164108531,0.013621833005722,0.32502716218492,0.044896859228635,0.0099150025108677,0.57314794841243,0.10508817533992,0.011671118567563,0.0054345074164486,0.19062193246076,0.42277565237142,49.477848188805,5.96947,0.028017759789991,0.013801112138005,1.6537846468963,10.240883134042,57.437775796201,0.19375491718088,0.42648411972286
