"upper","lower","_COL3","Sum_area_m2_","Sum_volume_m3_","_COL6","_COL7","_COL8","_COL9","_COL10","_COL11","_COL12","_COL13","_COL14","_COL15","_COL16","_COL17","_COL18","_COL19","_COL20","_COL21","_COL22","_COL23","_COL24","Avg_SD_","_COL26","_COL27","_COL28","_COL29","_COL30","_COL31","_COL32"
-15,-15.5,0.10874995043228,108749.95043228,1685624.2317003,0,0,0,0.0066,0.00059851281584751,0.0001,0.58757713796245,0.058777710283113,0.0093980690121843,0,0,0,0.80250095927462,0.11824983315381,0.022377674444991,0.017226988913567,0.052641586460476,0.022034029897878,17.449902518159,8.58814,0,0.0011835086481746,0.35253542597568,0,143.09872508204,0.086122581480633,0.037663064401498
-12,-12.5,0.14753090553629,147530.90553629,1844136.3192036,0,0,0,0.00882753969007,0.0007,0.0002,0.86906056721859,0.08567531924178,0.013884248617358,0.19909194666095,0.03762154658489,0.0060090316837496,0.85821856843826,0.12267539783345,0.023694300716434,0.019222333840953,0.045721842465761,0.018896481916779,39.130502635396,8.6070857142857,0,0.0056767660875241,1.7985258729408,2.7881464063306,126.99376516946,0.056803737322686,0.025431224284188
-11.5,-12,0.034047749407856,34047.749407856,408572.99289428,0,0,0,0.0089004965191396,0.0007,0.0002,0.90453297816979,0.089282596894384,0.014385518051225,0.20953449266294,0.039365632349911,0.0063270357789885,0.8546158616561,0.12173075116439,0.023830949974108,0.01932896389755,0.045437404722924,0.018716964544473,39.49506441168,8.5766,0,0.0057440003234616,1.9683460669272,2.8885990503946,125.41850424582,0.060045572774606,0.026852524042561
-9,-9.5,0.026919012665666,26919.012665666,255730.62032382,0.084,0.0059,0.0008,0.0207,0.0017,0.0004,1.4531,0.1418,0.0232,0.5333,0.0701,0.016,0.9119,0.1245,0.0251,0.0203,0.0445,0.0179,68.793690213392,8.5887,0.1111,0.0228,5.3468,9.5868,114.9418,0.0503,0.0226
-8.5,-9,0.18286217003094,182862.17003094,1645759.5302784,0.18669227142046,0.013066956095642,0.0018776780452889,0.11778613435349,0.0097723797171328,0.0022079680206697,2.1567918420129,0.20775591782338,0.034530306924455,0.55000626417476,0.069127262973757,0.016496745813927,0.90440982069083,0.12292669038867,0.024548685487469,0.020531299347587,0.042906918873979,0.017520513203476,85.463567523592,8.6378,0.24045458484213,0.14896018647758,8.9372745813272,12.270696947555,104.81410462371,0.047577998483963,0.022212032284299
-8,-8.5,0.046268263163333,46268.263163333,393280.23688833,0.19305589652486,0.013501373782174,0.0019187837043947,0.017585500669135,0.0014795132444716,0.00030962539306092,2.3898276816743,0.22745529432864,0.03804279057783,0.56303718207619,0.071553097306751,0.016910022534966,0.89750025478252,0.1221580999906,0.024678649020839,0.020518821865566,0.042588671555805,0.017049984110675,88.651304051045,8.652225,0.24673518786416,0.022851750552148,9.9459627004995,13.185617728144,104.29380449896,0.047409555453239,0.021519001355933
-6,-6.5,0.010630230374075,10630.230374075,69096.497431489,1.043,0.0729,0.0104,0.0649,0.0054,0.0012,5.7246,0.5322,0.0912,1.3301,0.2531,0.0373,0.9702,0.1242,0.0256,0.022,0.043,0.0172,137.72764900662,8.5903,0.9927,0.103,26.1882,20.606,90.5474,0.0452,0.0205
-5.5,-6,0.045932242220382,45932.242220382,275593.45332229,0.99188279595807,0.069459635351525,0.0098685447192743,0.3487128150059,0.028921258752146,0.0065518380651516,7.1340634309477,0.66575397535219,0.11399089727995,1.7868245176213,0.34284826007979,0.050144427306887,0.97171694564483,0.12407630623894,0.025312257111098,0.021848207983251,0.042597929435272,0.017009366085231,158.80818579857,8.6315666666667,1.0101258212229,0.57632572368071,33.949843721477,25.097162626205,83.394854263923,0.044673415213077,0.020318732170462
-5,-5.5,0.061884417253984,61884.417253984,340364.29489691,0.80842087758546,0.056587578875479,0.0080543343897374,0.7351459432095,0.060931159170561,0.013926389445543,7.2158765078192,0.6655271520927,0.11505859977852,2.2161034620445,0.42592446616996,0.063315031003691,0.92533092119918,0.1157862961041,0.024100981405378,0.021664468034189,0.037961955539327,0.016396768337613,195.64575837595,8.77065,0.96131205019002,1.2955731369203,35.910083707873,32.105141141123,60.690097843398,0.037845975841109,0.018963976712124
-4.5,-5,0.52636085122448,526360.85122448,2631804.2561224,0.81100348409492,0.056753085300536,0.0080780963279353,0.69809418741392,0.057793749972014,0.01321864249606,7.3243218552422,0.66864828466323,0.11685183254303,2.3938831770522,0.47180711588253,0.069984447374731,0.90399504244896,0.11393824802535,0.023992614837376,0.02118311618386,0.036770031840101,0.016184094365784,210.30587932721,8.8118433333333,0.97267240160103,1.2717575596714,37.089834671302,34.640627275967,54.760843101193,0.035979184581665,0.018755300458707
